Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT
Date,,,,,,,,,,,,,,,
2025-04-16,193.79563903808594,153.1446075439453,370.92901611328125,200.2099310657198,155.70150975970526,380.9106912763521,191.9002692932641,151.326800825977,367.32564600100716,197.8756484915953,152.91488990871326,379.97244183574617,59732400,28187400,21967800
2025-04-17,196.4990234375,150.97723388671875,367.1060485839844,198.34451232255947,154.49296683009544,373.6340726815441,193.9452767059697,148.32044647401452,366.2176953329466,196.71848747425943,154.10343899442373,373.0651098854367,52164700,33046600,21120200
2025-04-21,192.6883544921875,147.49143981933594,358.4619140625,193.3267911609043,148.76989086061988,363.8121077971333,189.34652827875263,145.9233461435289,355.01825440362086,192.79808650813246,148.69998342759925,362.1551460624454,46742500,26049100,20807300
2025-04-22,199.25228881835938,151.28684997558594,366.1478271484375,201.097762433896,152.0059806006662,367.09606804173376,195.49148998245192,148.360384885124,359.20055908423666,195.64111763020085,148.70996777577147,362.7141283475077,52976400,26971800,19485000
2025-04-23,204.1004180908203,155.16217041015625,373.7039489746094,207.49210995336898,157.3395272287139,379.6929540391626,202.30481024884085,153.62402390940207,372.33643389707953,205.49699351150966,155.42185055428513,375.3708716590499,52929200,31128800,20545500
2025-04-24,207.8612060546875,159.08740234375,386.59027099609375,208.32008954356945,159.39702506290834,387.7381880213899,202.44447210591895,155.60161685700967,374.5024768665421,204.38970763388747,155.96118216578617,375.01155205300716,47311000,45894000,22232300
2025-04-25,208.76898193359375,161.76417541503906,391.1319580078125,209.2378355121778,165.89916899199292,391.44138750936105,205.69650080604464,160.84527440652565,383.8952433175299,205.86608387594285,164.8704156189098,386.29083932956814,38222300,56034000,18973200
2025-04-28,209.62689208984375,160.41580200195312,390.4432067871094,210.98357193193158,162.9527241022343,392.0202980494585,206.95344326011445,158.40823784275827,385.9315006090283,209.48723454234343,162.2335934576757,391.241728610284,38743100,29745800,16579400
2025-04-29,210.6942901611328,159.9663543701172,393.31793212890625,211.72177396764008,160.54565492156792,394.3759872470841,207.86121308906752,157.32954700095436,389.66463540586307,208.18043904370694,160.12616457196697,390.5829324517716,36827600,26809000,14974000
2025-04-30,211.9811248779297,158.6079864501953,394.53570556640625,213.0584895980106,159.07741935833297,395.93313400867555,206.16535854293033,155.2120884925965,383.73552563819743,208.78894157113288,157.78897065630795,389.58477271143016,52286500,34981100,36461100
2025-05-01,212.79913330078125,161.10496520996094,424.6204528808594,214.0360957896086,161.7541731584952,436.1892106723326,208.3899124386699,158.7178557168657,424.12136912560175,208.56948083895412,160.255986901565,430.3199808366381,57365700,30203200,58938100
2025-05-02,204.8485870361328,163.8316650390625,434.48236083984375,206.48458191182934,164.77053089446972,438.63474141621873,201.66637387157866,161.6742731041275,429.20204608174254,205.58677037884885,163.21241957712974,430.948839257634,101010600,25715000,30757400
2025-05-05,198.40435791015625,164.01145935058594,435.3707275390625,203.60164304236298,165.19002528971967,438.6946118778074,197.72602561272546,162.52325543253818,431.3181395047298,202.6040848015313,162.80291566353057,432.07675654489867,69018500,21341800,20136100
2025-05-06,198.02528381347656,163.03262329101562,432.5159606933594,200.1600578713198,164.60073221310822,436.92787448428356,196.538931754607,160.99509669884785,430.3798980651205,197.72602851406054,161.97390744721895,431.408009380462,51216500,21277200,15104200
2025-05-07,195.7707977294922,151.19696044921875,432.555908203125,198.95301083885846,164.8004866523399,437.3171563878889,192.77812311451905,147.6612323828153,430.319992206568,198.6836658614824,163.88160091924024,433.04500054847074,68536700,127490100,23295300
2025-05-08,197.00778198242188,154.0934600830078,437.3670654296875,199.56152863729463,155.74145898524296,442.85698666150637,194.20463054641704,152.715123752916,434.86165526525525,197.2372161152265,154.81259075606965,437.12748451655574,50478900,57498700,23491300
2025-05-09,198.0452423095703,152.5653076171875,437.9260559082031,200.0503289543839,154.86252969975314,439.93235195021686,197.05765414160055,152.01596958260927,435.08127232610667,198.51409591462888,153.98358884442797,439.19371771814804,36453900,32435300,15324200
2025-05-12,210.55104064941406,158.26840209960938,448.4367370605469,211.03050749278242,158.90762762310243,448.5465208630377,206.5156271207593,156.06106765297667,438.9740982732109,210.7308445260501,157.2995737723926,445.12281367736733,63775800,44138800,22821900
2025-05-13,212.68861389160156,159.33709716796875,448.3169860839844,213.1580823159532,160.37584814800852,449.8441812103938,208.76307628033234,155.97117700529293,444.54388351816056,210.19144790738707,158.59798647987657,446.9594623818115,51909300,42382100,23618800
2025-05-14,212.08929443359375,165.1700439453125,452.1099853515625,213.69746987061376,166.7980779664445,453.0682176126866,210.34127831689767,159.4170139283214,447.3187935842875,212.18917192393894,159.7665968345665,447.3187935842875,49325800,48755900,19902800
2025-05-15,211.21029663085938,163.76174926757812,453.1300048828125,212.71859464512332,166.00902860866202,456.19000244140625,209.30245815432872,162.1736602838883,450.42999267578125,210.71086343228015,165.63946564247587,450.7699890136719,45029500,33146700,21992300
2025-05-16,211.0205078125,165.9890594482422,454.2699890136719,212.32903558469047,169.14524229932235,454.3599853515625,209.53220664773164,165.4197413290067,448.7300109863281,212.11926693678467,167.52719070383273,452.04998779296875,54737900,42846900,23849800
2025-05-19,208.54331970214844,166.338623046875,458.8699951171875,209.24252311349682,166.43850822896752,459.5899963378906,204.02843943795537,164.02143617765117,450.79998779296875,207.67431083672193,164.311078821177,450.8800048828125,46140500,30426100,21336500
2025-05-20,206.62550354003906,163.78172302246094,458.1700134277344,208.2336790492342,168.2962620339302,458.3399963378906,204.79757620413463,162.7030270512069,454.32000732421875,207.4345828831543,166.22875761227516,455.5899963378906,42496600,46607700,15441800
2025-05-21,201.86090087890625,168.35618591308594,452.57000732421875,206.80528635778637,172.93064990762463,457.7799987792969,200.4824756537251,163.36223158372133,451.80999755859375,204.93741112479617,163.49207927319333,454.57000732421875,59211800,73416000,19216900
